State,CityName,UniqueID,CityFIPS,TractFIPS,ObesityScore,Lat,Lon,WalkScore
TX,Midland,4848072-48329001700,4848072,48329001700,42.5,32.01338355,-102.0609729,33
TX,Houston,4835000-48201210800,4835000,48201210800,45.4,29.79436995,-95.34510604,43
TX,Brownsville,4810768-48061013402,4810768,48061013402,43.9,25.91090969,-97.47885681,78
TX,Mesquite,4847892-48113017702,4847892,48113017702,30.9,32.77676781,-96.59126472,37
TX,Houston,4835000-48201423500,4835000,48201423500,29.3,29.65094656,-95.54119042,32
TX,Houston,4835000-48201422200,4835000,48201422200,44.8,29.63877694,-95.50134915,51
TX,Abilene,4801000-48441011000,4801000,48441011000,36.8,32.45465843,-99.73198054,61
TX,San Antonio,4865000-48029131506,4865000,48029131506,33.6,29.43646762,-98.37336769,6
TX,Dallas,4819000-48113009000,4819000,48113009000,39.9,32.76127159,-96.67514511,18
TX,Houston,4835000-48201431802,4835000,48201431802,24.3,29.74748747,-95.46124544,89
TX,Lubbock,4845000-48303010502,4845000,48303010502,23.9,33.51230289,-101.9135224,27
TX,San Angelo,4864472-48451001400,4864472,48451001400,34.9,31.42732356,-100.4440966,39
TX,Pearland,4856348-48201330800,4856348,48201330800,33.6,29.59025118,-95.39797718,2
TX,Odessa,4853388-48135000800,4853388,48135000800,37.2,31.8744843,-102.3994486,32
TX,San Antonio,4865000-48029121120,4865000,48029121120,27.4,29.55705987,-98.43693759,28
TX,Lewisville,4842508-48121021730,4842508,48121021730,24.7,33.01578384,-97.02543662,17
TX,Dallas,4819000-48113009611,4819000,48113009611,30.2,32.9021571,-96.87652146,54
TX,Plano,4858016-48085032003,4858016,48085032003,35.1,33.0247975,-96.69071011,53
TX,Amarillo,4803000-48375010700,4803000,48375010700,33.1,35.18820956,-101.8044065,59
TX,San Antonio,4865000-48029161802,4865000,48029161802,37.2,29.34201962,-98.6473702,0
TX,Fort Worth,4827000-48439102602,4827000,48439102602,31.8,32.73039672,-97.38132169,65
TX,El Paso,4824000-48141002201,4824000,48141002201,36.5,31.77957196,-106.4816934,52
TX,Mission,4848768-48215020301,4848768,48215020301,31.1,26.22507513,-98.28758842,72
TX,Houston,4835000-48201521300,4835000,48201521300,35.8,29.81596499,-95.51393935,41
TX,Mesquite,4847892-48113017304,4847892,48113017304,29.7,32.75028384,-96.56024961,26
TX,Garland,4829000-48113019028,4829000,48113019028,27.1,32.95613064,-96.67491024,52
TX,Houston,4835000-48201413202,4835000,48201413202,20.4,29.70112639,-95.41995158,72
TX,Austin,4805000-48453002411,4805000,48453002411,37.1,30.20528781,-97.74887809,30
TX,San Antonio,4865000-48029181725,4865000,48029181725,32.9,29.46690312,-98.63089167,29
TX,San Antonio,4865000-48029121809,4865000,48029121809,29.2,29.57809661,-98.38214117,32
TX,Pasadena,4856000-48201323702,4856000,48201323702,31.9,29.64531928,-95.17661474,33
TX,Houston,4835000-48201431600,4835000,48201431600,22.6,29.76452796,-95.48379883,42
TX,San Antonio,4865000-48029171903,4865000,48029171903,33.5,29.40657117,-98.6562223,36
TX,Austin,4805000-48453002304,4805000,48453002304,32.2,30.24358644,-97.72331084,72
TX,Arlington,4804000-48439111514,4804000,48439111514,30,32.66329107,-97.08421506,14
TX,Sugar Land,4870808-48157674602,4870808,48157674602,26.3,29.54864971,-95.64379926,0
TX,San Antonio,4865000-48029180300,4865000,48029180300,37.5,29.4667591,-98.557513,43
TX,Houston,4835000-48201332100,4835000,48201332100,46.9,29.6803818,-95.34438503,52
TX,Longview,4843888-48183001100,4843888,48183001100,42,32.49452058,-94.72266548,16
TX,Dallas,4819000-48113013104,4819000,48113013104,22.8,32.88343564,-96.77388637,17
TX,Waco,4876000-48309003000,4876000,48309003000,31.9,31.58554249,-97.18740392,6
TX,El Paso,4824000-48141004311,4824000,48141004311,31.8,31.78622013,-106.3451086,42
TX,Carrollton,4813024-48121021624,4813024,48121021624,24.7,33.02592196,-96.93853664,49
TX,Mesquite,4847892-48113017813,4847892,48113017813,30.5,32.801961,-96.61903076,47
TX,Brownsville,4810768-48061012507,4810768,48061012507,40.3,25.97668832,-97.54955986,1
TX,Lubbock,4845000-48303000100,4845000,48303000100,36,33.63128133,-101.8338061,11
TX,Houston,4835000-48201423201,4835000,48201423201,34.7,29.66094417,-95.54411289,16
TX,Fort Worth,4827000-48439104505,4827000,48439104505,45.6,32.70823683,-97.31210725,63
TX,Fort Worth,4827000-48439111203,4827000,48439111203,30,32.59236635,-97.30501943,2
TX,Houston,4835000-48201350100,4835000,48201350100,31.9,29.59532812,-95.26137621,3
TX,Tyler,4874144-48423000700,4874144,48423000700,45,32.32551386,-95.32955627,9
TX,Houston,4835000-48201553002,4835000,48201553002,28.5,30.00677599,-95.47749193,16
