State,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon
TX,Grand Prairie,4830464-48113015800,4830464,48113015800,38.6,32.75965445,-96.94295521
TX,Houston,4835000-48201453200,4835000,48201453200,36.7,29.68202118,-95.56448477
TX,Dallas,4819000-48113007809,4819000,48113007809,30,32.85993326,-96.7400832
TX,Dallas,4819000-48085031706,4819000,48085031706,22.8,32.99323952,-96.82138497
TX,Corpus Christi,4817000-48355002500,4817000,48355002500,33.4,27.73774237,-97.37755576
TX,Dallas,4819000-48113012500,4819000,48113012500,33.6,32.82964081,-96.66721067
TX,Houston,4835000-48201310100,4835000,48201310100,37.6,29.75452631,-95.34333931
TX,Fort Worth,4827000-48439102000,4827000,48439102000,28.3,32.74975924,-97.35739956
TX,Dallas,4819000-48113006900,4819000,48113006900,40.9,32.76225284,-96.86640377
TX,Laredo,4841464-48479001811,4841464,48479001811,37.2,27.48801662,-99.45605676
TX,Round Rock,4863500-48491020704,4863500,48491020704,36.7,30.50360236,-97.66741567
TX,San Antonio,4865000-48029151100,4865000,48029151100,37,29.36207737,-98.53068264
TX,Longview,4843888-48183000600,4843888,48183000600,28.6,32.54553761,-94.77942542
TX,San Antonio,4865000-48029180201,4865000,48029180201,38.3,29.47780829,-98.53294421
TX,Mesquite,4847892-48113017703,4847892,48113017703,37.2,32.78576087,-96.61715146
TX,San Antonio,4865000-48029181815,4865000,48029181815,25.6,29.55125468,-98.5943597
TX,Austin,4805000-48453001782,4805000,48453001782,19.3,30.42937365,-97.79302688
TX,Dallas,4819000-48113013606,4819000,48113013606,30.1,32.95607563,-96.79526737
TX,Houston,4835000-48201411600,4835000,48201411600,23.3,29.73547113,-95.45374649
TX,San Antonio,4865000-48029180501,4865000,48029180501,36.5,29.47020781,-98.58963281
TX,Houston,4835000-48201313900,4835000,48201313900,24,29.69186749,-95.38390264
TX,Abilene,4801000-48441011500,4801000,48441011500,31.2,32.44127381,-99.76485459
TX,Denton,4819972-48121020504,4819972,48121020504,33,33.26752463,-97.11635008
TX,Dallas,4819000-48113006402,4819000,48113006402,37.7,32.7274496,-96.87343397
TX,Lubbock,4845000-48303001501,4845000,48303001501,26,33.5741816,-101.8790933
TX,Houston,4835000-48201320602,4835000,48201320602,40.6,29.6780005,-95.25845644
TX,San Antonio,4865000-48029121903,4865000,48029121903,24.9,29.62128081,-98.43167076
TX,Corpus Christi,4817000-48355005801,4817000,48355005801,32,27.86583431,-97.64985333
TX,Abilene,4801000-48441012100,4801000,48441012100,48.3,32.41954098,-99.71675292
TX,Lubbock,4845000-48303010200,4845000,48303010200,34.2,33.63354267,-101.8047194
TX,Corpus Christi,4817000-48355003204,4817000,48355003204,32.3,27.6814969,-97.35735237
TX,Fort Worth,4827000-48439104604,4827000,48439104604,48.2,32.71181104,-97.28861138
TX,Baytown,4806128-48201254100,4806128,48201254100,36,29.74638046,-94.95586391
TX,Arlington,4804000-48439122002,4804000,48439122002,40.5,32.73157046,-97.07139137
TX,Dallas,4819000-48113010803,4819000,48113010803,34.4,32.69874846,-96.87773108
TX,Grand Prairie,4830464-48113016406,4830464,48113016406,34.3,32.70339127,-97.00984435
TX,Fort Worth,4827000-48439102202,4827000,48439102202,26.2,32.73944086,-97.39510432
TX,Longview,4843888-48183000800,4843888,48183000800,35.9,32.52312922,-94.81480629
TX,Houston,4835000-48201211400,4835000,48201211400,40.9,29.76588059,-95.32816441
TX,El Paso,4824000-48141000207,4824000,48141000207,36.6,31.90373192,-106.3965237
TX,Fort Worth,4827000-48439123100,4827000,48439123100,48.3,32.73859752,-97.30869537
TX,Austin,4805000-48453001504,4805000,48453001504,21.2,30.34654717,-97.72508867
TX,Pasadena,4856000-48201322900,4856000,48201322900,37.8,29.70347261,-95.1943059
TX,Fort Worth,4827000-48439100300,4827000,48439100300,43.6,32.81387683,-97.36290363
TX,Dallas,4819000-48113013622,4819000,48113013622,24.2,32.94862721,-96.80794195
TX,San Antonio,4865000-48029150502,4865000,48029150502,36.8,29.37176136,-98.52547635
TX,Austin,4805000-48453002112,4805000,48453002112,34.6,30.31393332,-97.68259671
TX,Dallas,4819000-48113009804,4819000,48113009804,40.5,32.87111558,-96.87014401
TX,Frisco,4827684-48085030507,4827684,48085030507,23.3,33.11179965,-96.77985204
TX,Beaumont,4807000-48245000103,4807000,48245000103,45.4,30.14606476,-94.13072982
TX,Houston,4835000-48201554200,4835000,48201554200,,30.00149107,-95.58064332
TX,Houston,4835000-48201313700,4835000,48201313700,42.9,29.69750059,-95.36646106
TX,Dallas,4819000-48113002000,4819000,48113002000,35.4,32.75921988,-96.81648478
TX,Fort Worth,4827000-48439106102,4827000,48439106102,45,32.67660272,-97.25103787
TX,Dallas,4819000-48113001503,4819000,48113001503,41.1,32.80291102,-96.7769552
TX,Corpus Christi,4817000-48355002101,4817000,48355002101,40.2,27.75041619,-97.39043917
TX,El Paso,4824000-48141003402,4824000,48141003402,38.7,31.78897699,-106.3966929
TX,Bryan,4810912-48041000603,4810912,48041000603,40,30.66761396,-96.38876775
TX,Houston,4835000-48201340500,4835000,48201340500,29.4,29.56708457,-95.12058504
TX,Baytown,4806128-48201254300,4806128,48201254300,37,29.74229974,-94.9733315
TX,Frisco,4827684-48121021524,4827684,48121021524,22.9,33.11165377,-96.86005715
TX,Houston,4835000-48201453401,4835000,48201453401,31.4,29.65464826,-95.57640502
TX,Dallas,4819000-48113001203,4819000,48113001203,31.3,32.80262423,-96.74407859
TX,Dallas,4819000-48113010601,4819000,48113010601,39.1,32.78769862,-96.89838159
TX,McKinney,4845744-48085030531,4845744,48085030531,24.8,33.18494252,-96.70546965
TX,Lewisville,4842508-48121021716,4842508,48121021716,28.2,33.05251934,-97.01885245
TX,Fort Worth,4827000-48439102401,4827000,48439102401,30.2,32.72260769,-97.41827351
TX,Lubbock,4845000-48303001903,4845000,48303001903,27,33.5389583,-101.8966233
TX,Arlington,4804000-48439121905,4804000,48439121905,38.1,32.70960913,-97.0720855
TX,Irving,4837000-48113014136,4837000,48113014136,22.9,32.90165993,-96.97345604
TX,Houston,4835000-48201433202,4835000,48201433202,30.6,29.69680434,-95.54124817
