StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Population2010,Lat,Lon
FL,Tampa,1271000-12057006700,1271000,12057006700,23.5,5381,27.9009895934,-82.4964316653
CA,San Bernardino,0665000-06071004800,665000,6071004800,34.3,3282,34.1120411831,-117.3082365450
NY,New York,3651000-36047041200,3651000,36047041200,19.3,2929,40.6041574618,-73.9741916205
OR,Bend,4105800-41017001400,4105800,41017001400,23.9,5400,44.0460289583,-121.3400854960
WA,Bellevue,5305210-53033023801,5305210,53033023801,19.6,2536,47.5957109335,-122.1886982130
TX,San Antonio,4865000-48029181901,4865000,48029181901,24,3452,29.6020328114,-98.6148430928
TX,Round Rock,4863500-48491021505,4863500,48491021505,36.1,4862,30.5284881596,-97.6614807049
NC,High Point,3731400-37081013700,3731400,37081013700,27.6,4141,35.9681071886,-80.0242924899
FL,Jacksonville,1235000-12031015600,1235000,12031015600,29.3,3669,30.3174673312,-81.6110973718
TN,Knoxville,4740000-47093005000,4740000,47093005000,30.3,3632,36.0401815177,-83.9412230694
MI,Detroit,2622000-26163536900,2622000,26163536900,47.3,3497,42.4129307718,-83.1776478101
DC,Washington,1150000-11001003100,1150000,11001003100,24.7,2885,38.9305897622,-77.0254222296
HI,Honolulu,15003007809,15003,15003007809,17.4,3377,21.4014910373,-157.9319159130
LA,Shreveport,2270000-22017024109,2270000,22017024109,29.7,3601,32.3933269666,-93.7765379004
OH,Parma,3961000-39035177406,3961000,39035177406,30.6,4056,41.4012088028,-81.7199061137
FL,Pembroke Pines,1255775-12011070314,1255775,12011070314,24.6,2448,26.0456851699,-80.4141940446
FL,Fort Lauderdale,1224000-12011040901,1224000,12011040901,39.5,4621,26.1492929067,-80.1633659539
WA,Seattle,5363000-53033005801,5363000,53033005801,21.4,4743,47.6552010684,-122.3855975360
PA,Pittsburgh,4261000-42003090300,4261000,42003090300,31.1,1629,40.4643645292,-79.9529368134
OK,Broken Arrow,4009050-40145030800,4009050,40145030800,32.9,63,36.0587823283,-95.5856288119
NJ,Newark,3451000-34013008100,3451000,34013008100,38.6,3486,40.7341240951,-74.1767895562
OH,Cincinnati,3915000-39061007300,3915000,39061007300,39.4,1964,39.1744797302,-84.5231524811
NY,New York,3651000-36081074100,3651000,36081074100,19.1,3015,40.7282806914,-73.8470482439
CA,Santa Ana,0669000-06059089105,669000,6059089105,28.1,6387,33.7507149964,-117.9147588310
CA,Los Angeles,0644000-06037111204,644000,6037111204,19,5859,34.2620487933,-118.5488831460
CA,San Jose,0668000-06085503324,668000,6085503324,14.5,3543,37.3276396327,-121.7892723630
IN,Lafayette,1840788-18157001800,1840788,18157001800,33,3540,40.4162873335,-86.8462624373
CA,Roseville,0662938-06061021037,662938,6061021037,20.5,2135,38.7668105088,-121.3197294320
CA,Los Angeles,0644000-06037143603,644000,6037143603,20.2,2222,34.1444869389,-118.3720172030
FL,St. Petersburg,1263000-12103020209,1263000,12103020209,32.4,4715,27.7048986262,-82.6541022057
IN,Indianapolis,1836003-18097354700,1836003,18097354700,43,1431,39.7749397631,-86.1236568765
CA,Sacramento,0664000-06067004006,664000,6067004006,23,4843,38.5076030273,-121.5241366370
CA,Merced,0646898-06047001503,646898,6047001503,37.3,4438,37.2927274154,-120.4990996100
CA,Fremont,0626000-06001443001,626000,6001443001,20,2917,37.5184218909,-121.9515238280
NY,New York,3651000-36005007100,3651000,36005007100,34.7,1907,40.8182206270,-73.9128319023
GA,Sandy Springs,1368516-13121010122,1368516,13121010122,18.5,5596,33.9488742706,-84.3521305760
AZ,Glendale,0427820-04013615900,427820,4013615900,23.5,4362,33.6610843377,-112.1948706370
CA,San Bernardino,0665000-06071006401,665000,6071006401,37.8,3339,34.1161504833,-117.2703382630
NY,New York,3651000-36061010601,3651000,36061010601,15.8,7351,40.7567752544,-73.9599669950
TX,Houston,4835000-48201421401,4835000,48201421401,40.3,3626,29.7144430363,-95.4925110378
MO,St. Louis,2965000-29510102300,2965000,29510102300,28.1,1846,38.5629239336,-90.2869503037
CA,Los Angeles,0644000-06037980031,644000,6037980031,26.9,1262,33.7356399695,-118.2628441380
CA,Santa Ana,0669000-06059074406,669000,6059074406,30.7,3797,33.7482074786,-117.8493977930
VA,Norfolk,5157000-51710006100,5157000,51710006100,34.1,7740,36.8739891778,-76.2427327580
AZ,Glendale,0427820-04013092402,427820,4013092402,28.9,3369,33.5457861540,-112.1558246100
OH,Columbus,3918000-39049005410,3918000,39049005410,50.9,1362,39.9551382058,-82.9537849833
TX,San Antonio,4865000-48029151500,4865000,48029151500,35.9,2573,29.3525982021,-98.4923256702
TX,El Paso,4824000-48141002100,4824000,48141002100,46.6,3050,31.7655050573,-106.4748001070
OH,Cincinnati,3915000-39061003000,3915000,39061003000,24.5,3565,39.1356296187,-84.5150432549
CA,Fullerton,0628000-06059001601,628000,6059001601,18.2,7693,33.9020445270,-117.9221616090
CO,Thornton,0877290-08001009206,877290,8001009206,23,2021,39.8813742469,-104.9495180780
VA,Virginia Beach,5182000-51810046010,5182000,51810046010,29.7,3132,36.8351377458,-76.1871583611
NY,New York,3651000-36061011100,3651000,36061011100,17.1,3512,40.7546436632,-73.9953876455
GA,Albany,1301052-13095000900,1301052,13095000900,39.3,2082,31.5842141165,-84.1776657777
TN,Memphis,4748000-47157001200,4748000,47157001200,33.1,3733,35.1557263880,-89.9357488258
MO,St. Louis,2965000-29510107600,2965000,29510107600,48.5,2225,38.6849106387,-90.2390600005
MI,Troy,2680700-26125196700,2680700,26125196700,23.7,2739,42.5684570380,-83.1970837138
NY,New York,3651000-36081054900,3651000,36081054900,29.9,5308,40.7022172069,-73.9077594158
CA,Lake Forest,0639496-06059052422,639496,6059052422,18.3,4165,33.6695468425,-117.6788817080
TX,Beaumont,4807000-48245000500,4807000,48245000500,38.2,2339,30.1088362065,-94.1319720403
CA,Tracy,0680238-06077005308,680238,6077005308,27.4,4189,37.7436586409,-121.4440467820
NY,New York,3651000-36081010600,3651000,36081010600,24.4,3427,40.6856830909,-73.8249640754
NY,Rochester,3663000-36055008000,3663000,36055008000,47.8,2399,43.1781450063,-77.5926285290
NC,Charlotte,3712000-37119005916,3712000,37119005916,35.7,2271,35.1327004552,-80.9118215780
IL,Chicago,1714000-17031831300,1714000,17031831300,39.1,1280,41.9077663232,-87.7442595482
FL,Boynton Beach,1207875-12099005810,1207875,12099005810,25.2,240,26.5444904806,-80.1118536895
TN,Nashville,4752006-47037010104,4752006,47037010104,28.4,3070,36.2962421445,-86.8843736030
CA,Temecula,0678120-06065049600,678120,6065049600,24.2,7154,33.5357154705,-117.1576956150
IN,South Bend,1871000-18141000800,1871000,18141000800,26.2,1678,41.6914753956,-86.2524448972
NY,New York,3651000-36047025100,3651000,36047025100,34.4,3816,40.6878545678,-73.9493877960
IL,Chicago,1714000-17031760802,1714000,17031760802,25.7,2276,41.9578321489,-87.8472168686
TX,Pasadena,4856000-48201323100,4856000,48201323100,39.9,3333,29.6884253796,-95.1693743141
GA,Sandy Springs,1368516-13121010001,1368516,13121010001,,16,33.8795698086,-84.3667696575
PA,Allentown,4202000-42077001700,4202000,42077001700,41,4872,40.6101087099,-75.4829752113
NY,New York,3651000-36047000100,3651000,36047000100,19.7,4338,40.7002830511,-73.9940308168
NY,New York,3651000-36005012300,3651000,36005012300,39,4152,40.8286411968,-73.8874592395
NC,Raleigh,3755000-37183053724,3755000,37183053724,20.7,5720,35.8930831362,-78.7437726833
CA,Lake Forest,0639496-06059052410,639496,6059052410,20.2,5358,33.6322391369,-117.7110800510
CO,Longmont,0845970-08013013306,845970,8013013306,19.7,4589,40.1958852643,-105.1095341470
VA,Roanoke,5168000-51770002100,5168000,51770002100,25.3,3468,37.2573044892,-80.0166823143
LA,New Orleans,2255000-22071001739,2255000,22071001739,37.6,1439,30.0431570555,-89.9727862115
PA,Pittsburgh,4261000-42003180300,4261000,42003180300,38.4,2500,40.4229632084,-79.9937337179
CA,Rialto,0660466-06071002705,660466,6071002705,26.7,5153,34.1442220923,-117.3932126640
TX,Corpus Christi,4817000-48355003101,4817000,48355003101,35.1,5714,27.6277706811,-97.2750164299
TN,Memphis,4748000-47157007100,4748000,47157007100,27.6,2549,35.1242946184,-89.9655983986
CA,Redondo Beach,0660018-06037620521,660018,6037620521,21.1,4097,33.8764820213,-118.3656203880
FL,Miramar,1245975-12011110404,1245975,12011110404,31,5540,25.9889213798,-80.2331945052
CA,Vallejo,0681666-06095250605,681666,6095250605,20.6,4219,38.0736869040,-122.2036065120
MD,Baltimore,2404000-24510090200,2404000,24510090200,34.3,3243,39.3345419933,-76.5876270496
PA,Philadelphia,4260000-42101017701,4260000,42101017701,40.5,3705,39.9964469626,-75.1167525603
MA,Boston,2507000-25025020302,2507000,25025020302,16.2,1181,42.3593442070,-71.0639956129
SC,North Charleston,4550875-45035010817,4550875,45035010817,29.6,4620,32.9371128272,-80.1163851480
MN,Duluth,2717000-27137003300,2717000,27137003300,33,2540,46.7342257182,-92.1847106334
TX,Plano,4858016-48085031645,4858016,48085031645,21.8,2162,33.0506980000,-96.8364889363
AZ,Surprise,0471510-04013061026,471510,4013061026,27.5,5458,33.6315935877,-112.4181127360
LA,Kenner,2239475-22051020502,2239475,22051020502,36.5,6387,30.0264774449,-90.2425907379
OH,Cincinnati,3915000-39061004701,3915000,39061004701,22.6,2893,39.1189554437,-84.4283927955
IA,Cedar Rapids,1912000-19113010700,1912000,19113010700,30.6,1041,41.8953182738,-91.7028627394
NY,New York,3651000-36005044400,3651000,36005044400,35.3,3878,40.8995004597,-73.8437344144
OH,Cleveland,3916000-39035123200,3916000,39035123200,29.6,2987,41.4649201366,-81.7934525756
MO,Springfield,2970000-29077003100,2970000,29077003100,37.6,2904,37.2047892221,-93.3400492227
NJ,Elizabeth,3421000-34039030600,3421000,34039030600,34.6,3685,40.6421102241,-74.2048871885
IL,Chicago,1714000-17031240300,1714000,17031240300,19.1,1317,41.9123661908,-87.6750712895
NY,New York,3651000-36081036500,3651000,36081036500,31.5,3885,40.7595246748,-73.8656054869
CA,Los Angeles,0644000-06037214000,644000,6037214000,20.1,3898,34.0748535613,-118.3485020280
IL,Chicago,1714000-17031020500,1714000,17031020500,27.8,6214,42.0013129042,-87.6841982374
GA,Atlanta,1304000-13121009603,1304000,13121009603,22,4388,33.8343705290,-84.3757570714
IN,Indianapolis,1836003-18097310111,1836003,18097310111,31.9,3552,39.8302212597,-86.2867934736
NV,Las Vegas,3240000-32003003243,3240000,32003003243,26.6,5016,36.2299330745,-115.2882795710
CA,Moreno Valley,0649270-06065042407,649270,6065042407,31.4,3262,33.9539270835,-117.2395681860
CA,Sacramento,0664000-06067002100,664000,6067002100,23.8,2377,38.5693866834,-121.5059082500
FL,Lakeland,1238250-12105010401,1238250,12105010401,25.9,2034,28.0336083763,-81.9536771753
KY,Louisville,2148006-21111007502,2148006,21111007502,26.7,2323,38.3290939113,-85.6391456797
MD,Baltimore,2404000-24510270801,2404000,24510270801,36.9,4051,39.3691995135,-76.5912472592
CA,Fontana,0624680-06071002010,624680,6071002010,22.3,9013,34.1608167611,-117.4696944680
TX,Amarillo,4803000-48381021605,4803000,48381021605,28,1955,35.1541935621,-101.9111080140
CA,Orange,0653980-06059021923,653980,6059021923,15.1,222,33.8265355493,-117.7537576350
CA,Los Angeles,0644000-06037211922,644000,6037211922,24,3389,34.0672221459,-118.2953981370
