,State,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
777,TX,San Antonio,4865000-48029191202,4865000,48029191202,28.9,29.53265226,-98.50759283,39
778,TX,Laredo,4841464-48479001714,4841464,48479001714,28.6,27.5553007,-99.43778846,22
779,TX,Houston,4835000-48201541800,4835000,48201541800,30.7,29.7916076,-95.70140499,13
780,TX,Dallas,4819000-48113017001,4819000,48113017001,34.6,32.66351211,-96.60052585,2
781,TX,Abilene,4801000-48441011400,4801000,48441011400,31.8,32.44212168,-99.7789779,49
782,TX,McAllen,4845384-48215020903,4845384,48215020903,32.6,26.22240864,-98.21163642,41
783,TX,Houston,4835000-48201422000,4835000,48201422000,24.1,29.66200135,-95.48465749,33
784,TX,Houston,4835000-48201330600,4835000,48201330600,41.1,29.61306858,-95.43296707,58
785,TX,Laredo,4841464-48479000300,4841464,48479000300,45.1,27.50423496,-99.49929538,70
786,TX,Houston,4835000-48201333800,4835000,48201333800,37.6,29.61220385,-95.28380017,51
787,TX,Plano,4858016-48121021626,4858016,48121021626,23.7,33.07112933,-96.84846929,7
788,TX,Grand Prairie,4830464-48113016100,4830464,48113016100,35.9,32.72549631,-97.02520043,7
790,TX,Brownsville,4810768-48061012900,4810768,48061012900,34.4,25.93931474,-97.51495509,28
791,TX,Baytown,4806128-48201253100,4806128,48201253100,31.5,29.81500636,-94.96044262,3
792,TX,Lubbock,4845000-48303001901,4845000,48303001901,29.9,33.5560048,-101.8964578,56
793,TX,Denton,4819972-48121020402,4819972,48121020402,24.9,33.24220482,-97.15850126,17
794,TX,Laredo,4841464-48479001003,4841464,48479001003,43.3,27.50279468,-99.45722288,19
796,TX,Carrollton,4813024-48121021616,4813024,48121021616,30.9,33.00624784,-96.86808817,15
797,TX,Houston,4835000-48201333201,4835000,48201333201,39.2,29.66939644,-95.26995229,63
798,TX,Lubbock,4845000-48303001601,4845000,48303001601,28.1,33.57069196,-101.9135049,37
799,TX,San Antonio,4865000-48029121112,4865000,48029121112,30.0,29.55589047,-98.41655344,36
800,TX,Houston,4835000-48157673102,4835000,48157673102,22.8,29.72253105,-95.77491278,14
801,TX,Houston,4835000-48201532600,4835000,48201532600,40.2,29.8890597,-95.48888773,34
802,TX,Dallas,4819000-48113009104,4819000,48113009104,39.9,32.74546285,-96.6918433,48
803,TX,Houston,4835000-48201411800,4835000,48201411800,21.3,29.72719004,-95.42969679,80
804,TX,Laredo,4841464-48479001401,4841464,48479001401,43.0,27.53722142,-99.50795234,74
805,TX,Houston,4835000-48201333901,4835000,48201333901,31.0,29.61357237,-95.25804185,8
806,TX,Houston,4835000-48339692400,4835000,48339692400,27.0,30.05629286,-95.24539363,43
807,TX,Lubbock,4845000-48303010509,4845000,48303010509,25.3,33.49787949,-101.9136819,32
808,TX,Garland,4829000-48113018204,4829000,48113018204,39.5,32.90184661,-96.62571478,51
809,TX,Lewisville,4842508-48121021620,4842508,48121021620,25.4,33.00695291,-96.95813189,30
810,TX,Houston,4835000-48201350300,4835000,48201350300,27.7,29.58684972,-95.22339159,34
811,TX,Amarillo,4803000-48375015100,4803000,48375015100,32.3,35.27920366,-101.8230625,16
812,TX,Grand Prairie,4830464-48113015304,4830464,48113015304,34.9,32.78270886,-96.99713076,2
813,TX,Carrollton,4813024-48113013722,4813024,48113013722,27.9,32.97989178,-96.85279638,53
814,TX,Corpus Christi,4817000-48355005413,4817000,48355005413,29.9,27.6790735,-97.37873548,46
815,TX,Lubbock,4845000-48303000202,4845000,48303000202,42.4,33.59719228,-101.8639411,70
816,TX,Houston,4835000-48201410600,4835000,48201410600,20.8,29.74634788,-95.37780977,94
817,TX,Abilene,4801000-48441013401,4801000,48441013401,30.5,32.42371896,-99.79978554,33
818,TX,Houston,4835000-48201541001,4835000,48201541001,27.1,29.92229566,-95.63113739,37
819,TX,Killeen,4839148-48027022000,4839148,48027022000,32.2,31.10972326,-97.66102818,3
820,TX,Dallas,4819000-48113013625,4819000,48113013625,35.1,32.94321547,-96.82037277,61
821,TX,Mission,4848768-48215024106,4848768,48215024106,35.9,26.24409988,-98.29659268,2
822,TX,Corpus Christi,4817000-48355005406,4817000,48355005406,34.4,27.63492376,-97.36043772,6
823,TX,Houston,4835000-48201530700,4835000,48201530700,40.8,29.85566544,-95.40568774,39
824,TX,San Antonio,4865000-48029191411,4865000,48029191411,24.4,29.56752681,-98.5122171,36
825,TX,Allen,4801924-48085031506,4801924,48085031506,32.0,33.08930307,-96.67011761,65
826,TX,Laredo,4841464-48479000105,4841464,48479000105,41.1,27.49080387,-99.46747125,68
827,TX,Corpus Christi,4817000-48355002400,4817000,48355002400,36.5,27.72237827,-97.38418941,58
828,TX,Dallas,4819000-48113016510,4819000,48113016510,34.6,32.64521494,-96.96607997,11
829,TX,El Paso,4824000-48141003902,4824000,48141003902,40.7,31.68607264,-106.3251476,56
830,TX,Houston,4835000-48201433201,4835000,48201433201,30.1,29.69838836,-95.54838487,41
831,TX,Killeen,4839148-48027023108,4839148,48027023108,32.8,31.10073198,-97.7760131,13
832,TX,Fort Worth,4827000-48439105703,4827000,48439105703,34.7,32.65473703,-97.3639705,74
833,TX,Austin,4805000-48453001754,4805000,48453001754,22.6,30.40655575,-97.737306,31
834,TX,Fort Worth,4827000-48439100101,4827000,48439100101,37.3,32.78772114,-97.30025912,58
835,TX,Garland,4829000-48113018401,4829000,48113018401,35.6,32.87107081,-96.65646308,31
836,TX,Arlington,4804000-48439111552,4804000,48439111552,30.0,32.69374059,-97.13922404,40
837,TX,Beaumont,4807000-48245002200,4807000,48245002200,45.0,30.03923552,-94.1290601,17
838,TX,Beaumont,4807000-48245000308,4807000,48245000308,32.8,30.1160115,-94.16072896,47
839,TX,Houston,4835000-48201431101,4835000,48201431101,27.7,29.74415998,-95.53565834,62
840,TX,Dallas,4819000-48113011602,4819000,48113011602,39.9,32.69203759,-96.66261695,2
